id;ime;naslov;doplacilo;mesto
1381;"MCDONALD&#39;S RESTAVRACIJA - NOVO MESTO";Ljubljanska 24;2.01;NOVO MESTO
1536;"MCDONALD&#39;S RESTAVRACIJA - RUDNIK";Premrlova ulica 12;2.01;LJUBLJANA
3164;"MCDONALD&#39;S RESTAVRACIJA - ŠMARTINKA DRIVE";Šmartinska 147;2.01;LJUBLJANA
1379;"MCDONALD&#39;S RESTAVRACIJA - ŽELEZNIŠKA";Trg osvobodilne fronte 6;2.01;LJUBLJANA
1378;"MCDONALD&#39;S RESTAVRACIJA - ŽITO";Šmartinska 154;2.01;LJUBLJANA
2253;"MCDONALD&#39;S RESTAVRACIJA KOPER";Ankaranska 4;2.01;KOPER/CAPODISTRIA
2815;"MCDONALD&#39;S RESTAVRACIJA NOVA GORICA";Vojkova cesta 111;2.01;NOVA GORICA
2648;ME GUSTA;Jezdarska ulica 8b;1.6;MARIBOR
3138;MEATING PUB & RESTAVRACIJA;Mlinska ulica 2;3.6;MARIBOR
2597;MEDITERRANEO;Ciril Metodov trg 16;3.81;LJUBLJANA
1407;MEHIŠKA RESTAVRACIJA IMPERIO MEXICANO;Šmartinska 152g;4.31;LJUBLJANA
2023;MENZA BF;Večna pot 111;3.01;LJUBLJANA
2521;MENZA FE;Tržaška cesta 25;3.01;LJUBLJANA
1474;MENZA PF;Poljanski nasip 2;3.01;LJUBLJANA
1214;MLEČNA RESTAVRACIJA;Maistrov trg 13;2.51;KRANJ
2542;MLEČNA RESTAVRACIJA - DOSTAVA;Maistrov trg 13;3.51;KRANJ
3161;MUNCHIES;Strossmayerjeva ulica 13;1.2;MARIBOR
2828;NAMASTE INDIAN EXPRESS;Trubarjeva ulica 31;3.24;LJUBLJANA
3167;NJAMY - DOSTAVA;Šorlijeva 12;4.3;KRANJ
2732;OKREPČEVALNICA - DINER KINO GLEDALIŠČE BEŽIGRAD;Linhartova 11;3.7;LJUBLJANA
1683;OKREPČEVALNICA - PIZZERIJA MAKS;Dunajska cesta 111;3.0;LJUBLJANA
2944;OKREPČEVALNICA AJDA;Ajdovščina 4;3.0;LJUBLJANA
1615;OKREPČEVALNICA BADOVINAC;Kardeljeva ploščad 5;1.7;LJUBLJANA
2347;OKREPČEVALNICA FERI;Smetanova ulica 17;1.0;MARIBOR
2650;OKREPČEVALNICA GOSPOSVETSKA;Gosposvetska cesta 83;1.0;MARIBOR
3071;OKREPČEVALNICA HOLYFOOD;Igriška ulica 5;0.0;LJUBLJANA
2652;OKREPČEVALNICA IZUM;Prešernova 17;3.11;MARIBOR
1234;OKREPČEVALNICA MINUTKA;Celjska cesta 48 b;2.71;SLOVENJ GRADEC
2360;OKREPČEVALNICA MM PANDA;Koroška cesta 9;2.2;MARIBOR
1237;OKREPČEVALNICA PIVNICA ALF;Koroška cesta 5;3.0;MARIBOR
1238;OKREPČEVALNICA PIVNICA ALF - DOSTAVA;Koroška cesta 5;3.5;MARIBOR
3128;OKREPČEVALNICA RIBCA;Adamič Lundrovo nabrežje 1;3.71;LJUBLJANA
2302;OKREPČEVALNICA ŠUMI;Kardeljeva ploščad 5;1.0;LJUBLJANA
2757;OKREPČEVALNICA TIMEOUT;Trg OF 10;2.0;LJUBLJANA
1925;OKREPČEVALNICA TIP TOP;Partizanska cesta 50;1.6;MARIBOR
2334;OKREPČEVALNICA VILLA MONDE;Spuhlja 32;4.11;PTUJ
3169;ORIENT EXPRESS, SAMOPOSTREŽNA RESTAVRACIJA;Kolodvorska 11;3.81;LJUBLJANA
3035;OŠTARIJA CITY CENTER CELJE;Mariborska cesta 100;4.31;CELJE
2480;OŠTARIJA PIZZERIA DA NOI;Ulica Eve Lovše 1;3.81;MARIBOR
2705;OŠTARIJA PIZZERIA DA NOI - DOSTAVA;Ulica Eve Lovše 1;4.31;MARIBOR
3115;OŠTARIJA PRI OLJKI;Moskovska ulica 4;3.81;LJUBLJANA
1471;OŠTARIJA RUDOLFSWERTH;Kandijska cesta 35;2.91;NOVO MESTO
2863;PAPAGAYO;Gosposka ulica 6;3.5;MARIBOR
2623;PE DIJAŠKI DOM CELJE;Ljubljanska cesta 21;2.48;CELJE
1424;PE MARJETICA;Tobačna ulica 5;2.6;LJUBLJANA
1983;PEK MATJAŽ GLAVNI TRG;Glavni trg 25;0.5;SLOVENJ GRADEC
1366;PIAZZA DEL PAPA;Jurčkova cesta 223;4.21;LJUBLJANA
2248;PICERIJA BARJAN;Cesta v Mestni log 55;3.9;LJUBLJANA
2551;PICERIJA ERA;Pod Trško goro 83;3.31;NOVO MESTO
3142;PICERIJA IN PIVNICA KUFR;Glavni trg 43;3.5;SLOVENJ GRADEC
2504;PICERIJA VERONA ;Opekarniška cesta 9;3.0;CELJE
1794;PICESTAVRACIJA BOCCACCIO;Celovška cesta 249;4.31;LJUBLJANA
1798;PIVNICA ADAM RAVBAR;Perkova 17;4.31;DOMŽALE
2185;PIVOVARNA IN PIVNICA KRATOCHWILL;Kolodvorska ulica 14;4.3;LJUBLJANA
