id,ime,ocena
2854,RESTAVRACIJA TARTUF &quot;CENTER&quot;,4
1100,RESTAVRACIJA TUŠ CELJE (PLANET TUŠ),3
2698,RESTAVRACIJA ZLATA SREČA,4
3111,REX BISTRO,4
2739,ROZA SLON,4
2859,ROZA SLON BEŽIGRAD,5
3072,RUBY FOOD,4
2595,SALAMON - DOSTAVA,4
2552,SAMOPOSTREŽNA RESTAVRACIJA DOBRA HIŠA,5
2781,SAMOPOSTREŽNA RESTAVRACIJA STOLPIČ,5
2921,SKUHNA,4
2145,SLAŠČIČARNA IN KAVARNA LEONARD,4
2641,SPLOŠNA BOLNIŠNICA IZOLA,5
2263,SREDNJA ŠOLA IZOLA - SCUOLA MEDIA ISOLA,5
2115,STARA KRŠKA PIZZERIJA,5
2116,STARA KRŠKA PIZZERIJA - DOSTAVA,5
2389,SUBWAY,4
2714,SUBWAY,3
2988,SUBWAY BTC,4
3090,SUBWAY KOPER,4
2092,ŠEHEREZADA,4
2213,ŠTUDENTSKI DOM LJUBLJANA - RESTAVRACIJA,4
2532,TAJ MAHAL - DOSTAVA,4
3064,TUNNEL,4
1101,TUŠ RESTAVRACIJA MARIBOR STUDENCI (PLANET TUŠ),4
1262,UFO,4
2882,"UTRIP - BAR, BISTRO IN KAVARNA",5
2664,V PARKU,3
2932,VEČNI ŠTUDENT - DOSTAVA,3
3117,VINO &amp; RIBE ALEJA,4
3061,VINO &amp; RIBE CENTER,4
2742,VIVO D125,4
2599,VOLTA,5
1576,VOZI MIŠKO (MC ŠIŠKA),4
2298,VOZI MIŠKO (SUPERNOVA RUDNIK),5
1350,ZAMARO CAFFEE LOUNGE,5
2952,ZBORNICA BAR IN ŽAR,5
2993,ZNANSTVENA KAVARNA MAFIJA,4
2009,ŽITO KOPER,4
2956,ŽITO LEON ŠTUKELJ MARIBOR,4
2535,ŽITO LJUBLANA ŽELEZNIŠKA (KOLODVOR),5
2771,ŽITO LJUBLJANA BAVARSKI DVOR,5
2322,ŽITO MARIBOR TRG REVOLUCIJE,4
